ward_id,ward_name,year,month,date,rainfall_mm,avg_temp_c,groundwater_depth_m,tanker_price_inr,population_density,complaint_count,risk_score,risk_label
1,Whitefield,2024,7,2024-07-01,60.6,29.8,16.95,1047.0,16993,35,62.1,High
1,Whitefield,2024,8,2024-08-01,94.2,27.1,16.71,1018.0,15693,26,58.7,High
1,Whitefield,2024,9,2024-09-01,144.7,24.5,16.5,1043.0,15653,34,63.7,High
1,Whitefield,2024,10,2024-10-01,112.0,21.4,16.33,992.0,15825,25,60.2,High
1,Whitefield,2024,11,2024-11-01,42.9,20.5,16.41,1014.0,17586,29,56.1,High
1,Whitefield,2024,12,2024-12-01,10.2,19.3,16.5,1020.0,17049,24,45.3,Medium
1,Whitefield,2025,1,2025-01-01,2.7,19.0,16.53,973.0,16196,32,57.9,High
1,Whitefield,2025,2,2025-02-01,5.7,21.5,16.56,1058.0,16936,32,56.6,High
1,Whitefield,2025,3,2025-03-01,12.3,24.4,16.74,1679.0,16920,46,90.0,Critical
1,Whitefield,2025,4,2025-04-01,38.3,28.6,16.9,1589.0,16271,42,76.0,Critical
1,Whitefield,2025,5,2025-05-01,96.9,31.0,17.07,1658.0,16431,51,87.6,Critical
1,Whitefield,2025,6,2025-06-01,64.4,30.6,17.13,1004.0,16809,35,63.5,High
1,Whitefield,2025,7,2025-07-01,66.4,31.3,17.18,989.0,15734,25,60.4,High
1,Whitefield,2025,8,2025-08-01,108.6,27.9,16.93,1011.0,17632,31,63.4,High
1,Whitefield,2025,9,2025-09-01,162.7,24.1,16.73,1037.0,16714,27,54.8,Medium
1,Whitefield,2025,10,2025-10-01,101.0,21.9,16.52,1058.0,17392,27,61.3,High
1,Whitefield,2025,11,2025-11-01,35.8,20.7,16.61,995.0,16918,32,56.7,High
1,Whitefield,2025,12,2025-12-01,9.9,19.2,16.69,1020.0,15641,28,46.0,Medium
1,Whitefield,2026,1,2026-01-01,3.5,20.6,16.78,1000.0,15756,35,63.4,High
1,Whitefield,2026,2,2026-02-01,5.0,22.1,16.8,1046.0,17172,25,60.2,High
1,Whitefield,2026,3,2026-03-01,11.4,24.6,17.02,1633.0,16064,46,92.2,Critical
1,Whitefield,2026,4,2026-04-01,29.6,27.7,17.25,1665.0,16516,46,88.2,Critical
1,Whitefield,2026,5,2026-05-01,73.2,30.0,17.45,1631.0,16080,40,91.4,Critical
1,Whitefield,2026,6,2026-06-01,63.3,31.9,17.54,996.0,16116,32,59.8,High
2,Mahadevapura,2024,7,2024-07-01,89.3,30.4,15.48,1015.0,16775,25,39.0,Medium
2,Mahadevapura,2024,8,2024-08-01,96.4,27.9,15.26,1004.0,16507,35,50.8,Medium
2,Mahadevapura,2024,9,2024-09-01,139.2,24.7,15.08,952.0,15540,28,49.4,Medium
2,Mahadevapura,2024,10,2024-10-01,111.3,21.5,14.9,967.0,16883,29,45.5,Medium
2,Mahadevapura,2024,11,2024-11-01,50.1,20.5,15.0,1018.0,16857,24,42.6,Medium
2,Mahadevapura,2024,12,2024-12-01,8.1,18.8,15.01,963.0,17131,26,56.2,High
2,Mahadevapura,2025,1,2025-01-01,3.0,19.7,15.11,1027.0,16272,32,49.7,Medium
2,Mahadevapura,2025,2,2025-02-01,5.6,23.0,15.18,984.0,16656,23,51.0,Medium
2,Mahadevapura,2025,3,2025-03-01,11.4,25.7,15.33,1619.0,15320,40,80.6,Critical
2,Mahadevapura,2025,4,2025-04-01,36.7,27.5,15.47,1618.0,15652,45,82.9,Critical
2,Mahadevapura,2025,5,2025-05-01,81.2,30.4,15.66,1630.0,15569,47,82.0,Critical
2,Mahadevapura,2025,6,2025-06-01,69.4,31.4,15.69,974.0,16664,23,49.0,Medium
2,Mahadevapura,2025,7,2025-07-01,91.2,31.2,15.7,964.0,15690,34,56.1,High
2,Mahadevapura,2025,8,2025-08-01,113.9,27.8,15.45,1020.0,16567,30,57.5,High
2,Mahadevapura,2025,9,2025-09-01,153.6,24.0,15.27,962.0,16487,34,46.9,Medium
