date,year,month,quarter,month_name
2024-07-01,2024,7,3,Jul
2024-08-01,2024,8,3,Aug
2024-09-01,2024,9,3,Sep
2024-10-01,2024,10,4,Oct
2024-11-01,2024,11,4,Nov
2024-12-01,2024,12,4,Dec
2025-01-01,2025,1,1,Jan
2025-02-01,2025,2,1,Feb
2025-03-01,2025,3,1,Mar
2025-04-01,2025,4,2,Apr
2025-05-01,2025,5,2,May
2025-06-01,2025,6,2,Jun
2025-07-01,2025,7,3,Jul
2025-08-01,2025,8,3,Aug
2025-09-01,2025,9,3,Sep
2025-10-01,2025,10,4,Oct
2025-11-01,2025,11,4,Nov
2025-12-01,2025,12,4,Dec
2026-01-01,2026,1,1,Jan
2026-02-01,2026,2,1,Feb
2026-03-01,2026,3,1,Mar
2026-04-01,2026,4,2,Apr
2026-05-01,2026,5,2,May
2026-06-01,2026,6,2,Jun
